County,Agency,Full-Time Sworn,Reserve,Dispatcher,Total
SAN FRANCISCO COUNTY,SAN FRAN INT'L AIRPORT COMM,0,0,33,33
SAN FRANCISCO COUNTY,SAN FRANCISCO CCD PD,26,0,1,27
SAN FRANCISCO COUNTY,SAN FRANCISCO CO DA,38,0,0,38
SAN FRANCISCO COUNTY,SAN FRANCISCO CO MED EXAM,11,0,0,11
SAN FRANCISCO COUNTY,SAN FRANCISCO CO SD,790,0,0,790
SAN FRANCISCO COUNTY,SAN FRANCISCO DEPT EMER MGT,0,0,201,201
SAN FRANCISCO COUNTY,SAN FRANCISCO PD,2205,48,0,2253
SAN FRANCISCO COUNTY,SUPREME COURT OF CALIFORNIA,1,0,0,1
SAN FRANCISCO COUNTY,UC SAN FRANCISCO PD,51,0,12,63
SAN JOAQUIN COUNTY,ESCALON PD,10,14,0,24
SAN JOAQUIN COUNTY,LODI PD,67,9,19,95
SAN JOAQUIN COUNTY,MANTECA PD,62,6,9,77
SAN JOAQUIN COUNTY,RIPON PD,23,2,8,33
SAN JOAQUIN COUNTY,SAN JOAQUIN CO DA,31,0,0,31
SAN JOAQUIN COUNTY,SAN JOAQUIN CO SD,301,10,31,342
SAN JOAQUIN COUNTY,SAN JOAQUIN DELTA COLLEGE PD,11,1,6,18
SAN JOAQUIN COUNTY,STOCKTON PD,410,33,52,495
SAN JOAQUIN COUNTY,STOCKTON UNIF SCHL DIST PD,30,1,7,38
SAN JOAQUIN COUNTY,TRACY PD,85,0,15,100
SAN LUIS OBISPO COUNTY,ARROYO GRANDE PD,25,1,0,26
SAN LUIS OBISPO COUNTY,ATASCADERO PD,30,0,5,35
SAN LUIS OBISPO COUNTY,CPSU SAN LUIS OBISPO PD,20,0,8,28
SAN LUIS OBISPO COUNTY,CUESTA CCD DPS,7,0,0,7
SAN LUIS OBISPO COUNTY,GROVER BEACH PD,18,1,7,26
SAN LUIS OBISPO COUNTY,MORRO BAY PD,17,0,0,17
SAN LUIS OBISPO COUNTY,PASO ROBLES PD,33,3,10,46
SAN LUIS OBISPO COUNTY,PISMO BEACH PD,21,1,6,28
SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO CO DA,13,0,0,13
SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO CO SD,287,10,23,320
SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO PD,59,1,11,71
SAN MATEO COUNTY,ATHERTON PD,18,4,12,34
SAN MATEO COUNTY,BELMONT PD,30,1,9,40
SAN MATEO COUNTY,BRISBANE PD,16,0,0,16
SAN MATEO COUNTY,BROADMOOR PD,9,21,0,30
SAN MATEO COUNTY,BURLINGAME PD,38,2,17,57
SAN MATEO COUNTY,COLMA PD,19,0,5,24
SAN MATEO COUNTY,DALY CITY PD,94,0,1,95
SAN MATEO COUNTY,FOSTER CITY PD,35,3,9,47
SAN MATEO COUNTY,HILLSBOROUGH PD,26,1,6,33
SAN MATEO COUNTY,MENLO PARK PD,42,4,14,60
SAN MATEO COUNTY,PACIFICA PD,30,5,0,35
SAN MATEO COUNTY,REDWOOD CITY PD,92,5,21,118
SAN MATEO COUNTY,SAN BRUNO PD,46,7,8,61
SAN MATEO COUNTY,SAN MATEO CO CORONER,9,0,0,9
SAN MATEO COUNTY,SAN MATEO CO DA,16,0,0,16
SAN MATEO COUNTY,SAN MATEO CO PUB SFTY COMM CTR,0,0,64,64
SAN MATEO COUNTY,SAN MATEO CO SD,325,44,0,369
SAN MATEO COUNTY,SAN MATEO PD,107,4,23,134
SAN MATEO COUNTY,SOUTH SAN FRANCISCO PD,80,7,15,102
SANTA BARBARA COUNTY,ALLAN HANCOCK CCD PD,5,1,1,7
SANTA BARBARA COUNTY,GUADALUPE PD,11,2,0,13
SANTA BARBARA COUNTY,LOMPOC PD,42,1,11,54
SANTA BARBARA COUNTY,SANTA BARBARA CO DA,16,0,0,16
SANTA BARBARA COUNTY,SANTA BARBARA CO SD,462,30,33,525
SANTA BARBARA COUNTY,SANTA BARBARA PD,136,9,14,159
SANTA BARBARA COUNTY,SANTA MARIA PD,117,2,19,138
SANTA BARBARA COUNTY,UC SANTA BARBARA PD,39,0,5,44
SANTA CLARA COUNTY,CAMPBELL PD,43,12,12,67
SANTA CLARA COUNTY,CSU SAN JOSE PD,30,1,7,38
SANTA CLARA COUNTY,EAST PALO ALTO PD,35,0,0,35
SANTA CLARA COUNTY,FOOTHILL-DEANZA CCD PD,15,0,0,15
SANTA CLARA COUNTY,GILROY PD,59,6,14,79
SANTA CLARA COUNTY,LOS ALTOS PD,26,3,8,37
SANTA CLARA COUNTY,LOS GATOS PD,36,6,6,48
SANTA CLARA COUNTY,MILPITAS PD,80,0,13,93
SANTA CLARA COUNTY,MORGAN HILL PD,39,3,10,52
SANTA CLARA COUNTY,MOUNTAIN VIEW EMERG COMM,0,0,15,15
SANTA CLARA COUNTY,MOUNTAIN VIEW PD,85,13,0,98
SANTA CLARA COUNTY,PALO ALTO PD,80,7,20,107
SANTA CLARA COUNTY,SAN JOSE PD,902,86,146,1134
SANTA CLARA COUNTY,SAN JOSE UNIF SCHL DIST PD,1,0,0,1
SANTA CLARA COUNTY,SAN JOSE/EVERGREEN CCD PD,7,5,0,12
SANTA CLARA COUNTY,SANTA CLARA CO COMM DEPT,0,0,71,71
SANTA CLARA COUNTY,SANTA CLARA CO DA,81,0,0,81
SANTA CLARA COUNTY,SANTA CLARA CO DA-WELFARE FRD,1,0,0,1
SANTA CLARA COUNTY,SANTA CLARA CO SD,1135,66,0,1201
SANTA CLARA COUNTY,SANTA CLARA PD,149,163,24,336
SANTA CLARA COUNTY,SUNNYVALE DPS,192,0,20,212
SANTA CLARA COUNTY,WEST VALLEY CCD PD,9,0,0,9
SANTA CRUZ COUNTY,CAPITOLA PD,21,2,0,23
SANTA CRUZ COUNTY,SANTA CRUZ CO DA,14,0,0,14
SANTA CRUZ COUNTY,SANTA CRUZ CO SD,146,16,0,162
SANTA CRUZ COUNTY,SANTA CRUZ PD,84,1,0,85
SANTA CRUZ COUNTY,SCOTTS VALLEY PD,17,5,7,29
SANTA CRUZ COUNTY,UC SANTA CRUZ PD,18,0,7,25
SANTA CRUZ COUNTY,WATSONVILLE PD,68,0,0,68
SHASTA COUNTY,ANDERSON PD,21,0,0,21
SHASTA COUNTY,REDDING PD,98,1,1,100
SHASTA COUNTY,SHASTA AREA SAFETY COMM AGCY,0,0,38,38
SHASTA COUNTY,SHASTA CO DA,13,0,0,13
SHASTA COUNTY,SHASTA CO MARSHAL,21,0,2,23
SHASTA COUNTY,SHASTA CO SD,117,5,0,122
SIERRA COUNTY,SIERRA CO SD,11,1,0,12
SISKIYOU COUNTY,ETNA PD,2,3,0,5
SISKIYOU COUNTY,LAKE SHASTINA DISTRICT PD,5,0,0,5
SISKIYOU COUNTY,MOUNT SHASTA PD,9,1,3,13
SISKIYOU COUNTY,SISKIYOU CO DA,3,0,0,3
SISKIYOU COUNTY,SISKIYOU CO SD,80,6,10,96
SISKIYOU COUNTY,TULELAKE PD,2,0,0,2
SISKIYOU COUNTY,WEED PD,9,3,7,19
SISKIYOU COUNTY,YREKA PD,14,0,7,21
SOLANO COUNTY,BENICIA PD,33,1,15,49
SOLANO COUNTY,CSU CAL MARITIME ACADEMY PD,9,0,0,9
SOLANO COUNTY,DIXON PD,23,3,0,26
SOLANO COUNTY,FAIRFIELD PD,108,0,22,130
SOLANO COUNTY,RIO VISTA PD,7,1,0,8
SOLANO COUNTY,SOLANO CO DA,12,0,0,12
SOLANO COUNTY,SOLANO CO SD,159,11,19,189
SOLANO COUNTY,SOLANO CO SPECIAL INV BUREAU,8,0,0,8
SOLANO COUNTY,SUISUN CITY PD,25,3,8,36
SOLANO COUNTY,VACAVILLE PD,99,4,18,121
SOLANO COUNTY,VALLEJO PD,105,2,23,130
SONOMA COUNTY,CLOVERDALE PD,12,1,6,19
SONOMA COUNTY,COTATI PD,9,1,6,16
SONOMA COUNTY,CSU SONOMA PD,14,0,4,18
SONOMA COUNTY,HEALDSBURG PD,18,0,6,24
SONOMA COUNTY,PETALUMA PD,60,0,14,74
SONOMA COUNTY,ROHNERT PARK DPS,57,0,12,69
SONOMA COUNTY,SANTA ROSA PD,175,0,28,203
SONOMA COUNTY,SEBASTOPOL PD,14,10,6,30
SONOMA COUNTY,SONOMA CO DA,11,0,0,11
SONOMA COUNTY,"SONOMA CO HUM SRV,WLF FRD INV",6,0,0,6
SONOMA COUNTY,SONOMA CO JR COLLEGE DIST PD,13,0,7,20
SONOMA COUNTY,SONOMA CO SHERIFF'S OFFICE,436,1,28,465
SONOMA COUNTY,SONOMA-MARIN AREA RAIL TRANSIT,1,0,0,1
STANISLAUS COUNTY,CERES DPS,46,1,10,57
STANISLAUS COUNTY,CSU STANISLAUS DPS,12,0,2,14
STANISLAUS COUNTY,MODESTO PD,206,12,0,218
STANISLAUS COUNTY,NEWMAN PD,11,3,0,14
STANISLAUS COUNTY,OAKDALE PD,22,6,7,35
STANISLAUS COUNTY,STANISLAUS CO DA,16,0,0,16
STANISLAUS COUNTY,STANISLAUS CO SD,459,32,1,492
STANISLAUS COUNTY,STANISLAUS REGIONAL 9-1-1,1,0,54,55
STANISLAUS COUNTY,TURLOCK PD,77,0,15,92
SUTTER COUNTY,SUTTER CO DA,6,0,0,6
SUTTER COUNTY,SUTTER CO SD,108,22,12,142
SUTTER COUNTY,YUBA CITY PD,56,5,9,70
TEHEMA COUNTY,CORNING PD,11,0,6,17
TEHEMA COUNTY,RED BLUFF PD,25,1,7,33
TEHEMA COUNTY,TEHAMA CO DA,7,0,0,7
TEHEMA COUNTY,TEHAMA CO SD,91,5,8,104
TRINITY COUNTY,TRINITY CO DIST ATTORNEY,1,0,0,1
TRINITY COUNTY,TRINITY CO MARSHAL,3,0,0,3
TRINITY COUNTY,TRINITY COUNTY SD,19,5,2,26
TULARE COUNTY,COLLEGE OF THE SEQUOIAS PD,6,2,0,8
TULARE COUNTY,DINUBA PD,37,1,5,43
TULARE COUNTY,EXETER PD,17,7,1,25
TULARE COUNTY,FARMERSVILLE PD,14,0,1,15
TULARE COUNTY,LINDSAY DPS,15,3,4,22
TULARE COUNTY,PORTERVILLE PD,56,4,13,73
TULARE COUNTY,TULARE CO DA,38,0,0,38
TULARE COUNTY,TULARE CO SD,532,23,25,580
TULARE COUNTY,TULARE PD,71,0,13,84
TULARE COUNTY,VISALIA PD,137,2,22,161
TULARE COUNTY,WOODLAKE PD,9,2,0,11
TUOLUMNE COUNTY,SONORA PD,11,1,6,18
TUOLUMNE COUNTY,TUOLUMNE CO DA,2,0,0,2
TUOLUMNE COUNTY,TUOLUMNE CO SD,106,7,15,128
VENTURA COUNTY,CSU CHANNEL ISLANDS PD,14,0,5,19
VENTURA COUNTY,OXNARD PD,220,9,23,252
VENTURA COUNTY,PORT HUENEME PD,22,6,4,32
VENTURA COUNTY,SANTA PAULA PD,30,17,5,52
VENTURA COUNTY,SIMI VALLEY PD,121,2,16,139
VENTURA COUNTY,VENTURA CO CCD PD,16,4,0,20
VENTURA COUNTY,VENTURA CO DA,50,0,0,50
VENTURA COUNTY,VENTURA CO SD,724,14,36,774
VENTURA COUNTY,VENTURA PD,123,0,11,134
YOLO COUNTY,DAVIS PD,60,1,14,75
YOLO COUNTY,UC DAVIS PD,45,0,8,53
YOLO COUNTY,WEST SACRAMENTO PD,75,4,0,79
YOLO COUNTY,WINTERS PD,11,2,1,14
YOLO COUNTY,WOODLAND PD,63,0,0,63
YOLO COUNTY,YOLO CO COMM EMER,0,0,33,33
YOLO COUNTY,YOLO CO DA,14,0,0,14
YOLO COUNTY,YOLO CO SD,88,6,0,94
YUBA COUNTY,MARYSVILLE PD,18,11,9,38
YUBA COUNTY,WHEATLAND PD,8,5,0,13
YUBA COUNTY,YUBA CO DA,2,0,0,2
YUBA COUNTY,YUBA CO SD,59,26,11,96
YUBA COUNTY,YUBA COMMUNITY COLL DIST PD,5,0,0,5
