Death Agency Number,URSUS Agency Name,Primary Name,Alternate URSUS Name,NCIC,ORI,Related County,Complaint Agency Name,gdrive_folder_name,Agency Website,CRP pra Agency name,MuckRock Agency ID,Agency Type (string),Post Name,Complaint Year,County,Complaint Type,Complaint Count,Alternate Name,resourceid,AGENCY_NAME
,,Oakland Housing Authority Police Department,,7661,CA0013300,Alameda County,Oakland Housing Authority,Oakland Housing Authority Police Department,"{""url"": ""https://www.oakha.org/OHA-PD"", ""url_label"": """"}",Oakland Housing Authority Police Department,19871.0,City Agency,OAKLAND CITY HOUSING AUTH PD,,Alameda,,,,437a0774-de67-47c8-a2f6-129d40b39d27,OAKLAND HOUSING AUTHORITY PD
,,UC Berkeley Police Department,,197,CA0019700,Alameda County,"UC Berkeley, University Police",UC Berkeley Police Department,"{""url"": ""https://ucpd.berkeley.edu/home"", ""url_label"": """"}",UC Berkeley Police Department,19806.0,UC,UC BERKELEY PD,,Alameda ,,,,9063240d-bafe-4f4d-b3d7-97324a1754d7,UC BERKELEY
,,Alpine County Sheriff,,200,CA0020000,Alpine County,Alpine County Sheriff's Department,Alpine County Sheriff,"{""url"": ""https://www.alpinecountyca.gov/204/Sheriff"", ""url_label"": """"}",Alpine County Sheriff,14300.0,Sheriff,"ALPINE CO SD, ALPINE CO SO",,Alpine,,,,57f43bd8-07fd-4260-89d3-852be73d6360,ALPINE SO
,,Amador County Sheriff,,300,CA0030000,Amador County,Amador County Sheriff's Department,Amador County Sheriff,"{""url"": ""https://www.amadorsheriff.org/"", ""url_label"": """"}",Amador County Sheriff,5369.0,Sheriff,"AMADOR CO SD/CORONER, AMADOR CO SO/CORONER",,Amador,,,,577de339-5782-4bdf-89ec-fe45c4ba492e,AMADOR SD
,,Amador County District Attorney,,6303,CA003013A,Amador County,Amador County District Attorney,Amador County District Attorney,"{""url"": ""https://www.amadorgov.org/government/district-attorney"", ""url_label"": """"}",Amador County District Attorney,18071.0,District Attorney,AMADOR CO DA,,Amador,,,,2f258561-60cd-42e0-af9a-73ee7a1e69c4,AMADOR CO DISTRICT ATTORNEYS OFFICE
,,,,,CA003013G,,,,,,,,,,,,,,,AMADOR COUNTY PROBATION DEPARTMENT
,,Ione Police Department,,302,CA0030200,Amador County,Ione Police Department,Ione Police Department,"{""url"": ""https://www.ione-ca.com/police"", ""url_label"": """"}",Ione Police Department,19620.0,Police Department,IONE PD,,Amador,,,,b8ba47bb-297f-4346-9c76-1eb9b6ba4a52,IONE PD
,,Jackson Police Department,,303,CA0030300,Amador County,Jackson Police Department,Jackson Police Department,"{""url"": ""https://www.ci.jackson.ca.us/police_department.php"", ""url_label"": """"}",Jackson Police Department,19621.0,Police Department,JACKSON PD,,Amador,,,,afe20f8c-0bea-42f2-a30d-5f9f0d2643ca,JACKSON PD
,,Sutter Creek Police Department,,305,CA0030500,Amador County,Sutter Creek Police Department,Sutter Creek Police Department,"{""url"": ""https://www.cityofsuttercreek.org/police-department"", ""url_label"": """"}",Sutter Creek Police Department,19625.0,Police Department,SUTTER CREEK PD,,Amador,,,,73237cf3-ff92-4be7-a682-569b21758f83,SUTTER CREEK PD
,,Butte County Sheriff,,400,CA0040000,Butte County,Butte County Sheriff's Department,Butte County Sheriff,"{""url"": ""https://www.buttecounty.net/1393/SheriffCoroner"", ""url_label"": """"}",Butte County Sheriff,11159.0,Sheriff,"BUTTE CO SD/CORONER, BUTTE CO SO/CORONER","2019-01, 2019-01, 2018-01, 2017-01",Butte,"Race Ethnicity Sustained, Age Sustained, Race Ethnicity Sustained, Gender Sustained","2, 1, 1, 1",,0f3749c8-c46c-4dac-b15e-cfae19ea09d3,BUTTE SD
,,Butte County District Attorney,,6304,CA004013A,Butte County,Butte County District Attorney,Butte County District Attorney,"{""url"": ""https://www.buttecounty.net/340/District-Attorney"", ""url_label"": """"}",Butte County District Attorney,18072.0,District Attorney,BUTTE CO DA,,Butte,,,,7c273a0a-a926-4a05-9426-5f06984f46d2,BUTTE COUNTY DISTRICT ATTORNEYS OFFICE
,,Butte County Probation Department,,6804,CA004013G,Butte County,Butte County Probation Department,Butte County Probation Department,"{""url"": ""https://www.buttecounty.net/673/Probation"", ""url_label"": """"}",Butte County Probation Department,19553.0,Probation Department,,,Butte,,,,9e7fa641-47ad-4343-91e9-854e81e75e89,BUTTE COUNTY PROBATION DEPARTMENT
,,Chico Police Department,,402,CA0040200,Butte County,Chico Police Department,Chico Police Department,"{""url"": ""https://chico.ca.us/Department-Directory/Police-Department/index.html"", ""url_label"": """"}",Chico Police Department,10726.0,Police Department,CHICO PD,,Butte,,,,31b91144-c4b4-4212-be4c-9a856174e140,CHICO PD
,,Gridley-Biggs Police Department,,403,CA0040300,Butte County,Gridley Police Department,Gridley-Biggs Police Department,"{""url"": ""http://gridley.ca.us/government-and-departments/departments/police-department"", ""url_label"": """"}",Gridley-Biggs Police Department,19795.0,Police Department,GRIDLEY PD,,Butte,,,,40643d57-8b34-4608-9110-cb740c4c616b,GRIDLEY PD
,,Oroville Police Department,,404,CA0040400,Butte County,Oroville Police Department,Oroville Police Department,"{""url"": ""https://www.cityoforoville.org/services/police-department"", ""url_label"": """"}",Oroville Police Department,19524.0,Police Department,OROVILLE PD,,Butte,,,,6dcdf116-ae6f-4acc-a5e7-e9a75afeec1d,OROVILLE PD
,,Paradise Police Department,,405,CA0040500,Butte County,Paradise Police Department,Paradise Police Department,"{""url"": ""https://www.townofparadise.com/police"", ""url_label"": """"}",Paradise Police Department,19660.0,Police Department,PARADISE PD,,Butte,,,,6888cec8-0dbc-40f3-9bcc-a2e8f2e47c51,PARADISE PD
,,Butte Community College Police Department,,6614,CA0041100,Butte County,Butte Community College PD,Butte Community College Police Department,"{""url"": ""https://www.butte.edu/collegepolice/"", ""url_label"": """"}",Butte Community College Police Department,19812.0,Community College,BUTTE CCD PD,,Butte,,,,21b46d6d-5760-4b8c-bcc7-014f98d89e2a,BUTTE COLLEGE PD
,,CSU Chico Police Department,,497,CA0049700,Butte County,"CSU Chico, University Police",CSU Chico Police Department,"{""url"": ""https://www.csuchico.edu/up/"", ""url_label"": """"}",CSU Chico Police Department,19817.0,CSU,CSU CHICO PD,,Butte,,,,ea7acff0-97b9-4e92-b9a2-ecb1b174a66f,CSU CHICO
,,Calaveras County Sheriff,,500,CA0050000,Calaveras County,Calaveras County Sheriff's Department,Calaveras County Sheriff,"{""url"": ""https://sheriff.calaverasgov.us/"", ""url_label"": """"}",Calaveras County Sheriff,11169.0,Sheriff,CALAVERAS CO SD,,Calaveras,,,,df8124e1-c7db-4874-9801-d1d8d0d77d32,CALAVERAS SD
,,Angels Camp Police Department,,501,CA0050100,Calaveras County,Angels Camp Police Department,Angels Camp Police Department,"{""url"": ""https://angelscamp.gov/police/"", ""url_label"": """"}",Angels Camp Police Department,19687.0,Police Department,ANGELS CAMP PD,,Calaveras,,,,50a4e294-0804-4d8e-8180-7e63942bc702,ANGELS CAMP PD
,,Calaveras County District Attorney,,6305,CA005013A,Calaveras County,Calaveras County District Attorney,Calaveras County District Attorney,"{""url"": ""https://districtattorney.calaverasgov.us/"", ""url_label"": """"}",Calaveras County District Attorney,18073.0,District Attorney,CALAVERAS CO DA,,Calaveras,,,,30f04173-7630-4ee7-9f8b-698c49202112,
,,,,,CA005023A,,,,,,,,,,,,,,,CALAVERAS COUNTY DISTRICT ATTORNEYS OFFICE
,,Colusa County Sheriff,,600,CA0060000,Colusa County,Colusa County Sheriff's Department,Colusa County Sheriff,"{""url"": ""https://www.countyofcolusaca.gov/156/Sheriff"", ""url_label"": """"}",Colusa County Sheriff,5364.0,Sheriff,COLUSA COUNTY SD,,Colusa,,,,178bbbd6-40ee-4b50-b424-19905df66a06,COLUSA SD
,,Colusa Police Department,,601,CA0060100,Colusa County,Colusa Police Department,Colusa Police Department,"{""url"": ""https://cityofcolusa.com/police-department/"", ""url_label"": """"}",Colusa Police Department,19729.0,Police Department,COLUSA PD,,Colusa,,,,c04b06be-cbcc-4041-9ef8-64afa1b71a00,COLUSA PD
,,Colusa County District Attorney,,6306,CA006013A,Colusa County,Colusa County District Attorney,Colusa County District Attorney,"{""url"": ""https://www.countyofcolusaca.gov/357/District-Attorney"", ""url_label"": """"}",Colusa County District Attorney,18074.0,District Attorney,COLUSA CO DISTRICT ATTORNEY,,Colusa,,,,b8a84b71-cec8-458e-9bd8-d429b2d55bd9,COLUSA COUNTY DISTRICT ATTORNEY
,,,,,CA006013G,,,,,,,,,,,,,,,COLUSA COUNTY PROBATION DEPARTMENT
,,Williams Police Department,,602,CA0060200,Colusa County,Williams Police Department,2022 Williams Police Dept,"{""url"": ""https://www.cityofwilliams.org/services/police/index.php"", ""url_label"": """"}",Williams Police Department,19600.0,Police Department,WILLIAMS PD,,Colusa,,,,24cd4e52-ae7c-47f2-8e20-4d9e4e46be83,WILLIAMS PD
,,Contra Costa County Sheriff,,700,CA0070000,Contra Costa County,Contra Costa County Sheriff's Department,Contra Costa County Sheriff,"{""url"": ""https://www.cocosheriff.org/"", ""url_label"": """"}",Contra Costa County Sheriff,19898.0,Sheriff,"CONTRA COSTA CO SD/CORONER, CONTRA COSTA CO SO/CORONER",,Contra Costa,,,,8ea30f3c-5ef9-4a1a-97eb-a6f90e24053a,CONTRA COSTA SD
,,Oakley Police Department,,,CA0070057,Contra Costa County,Oakley Police Department,Oakley Police Department,"{""url"": ""https://www.ci.oakley.ca.us/howdoi/police-2/"", ""url_label"": """"}",Oakley Police Department,12115.0,Police Department,OAKLEY PD,,Contra Costa,,,,2f6fc1e0-1748-41b6-88bc-ad0f511428a0,
70100.0,,Antioch Police Department,,701,CA0070100,Contra Costa County,Antioch Police Department,Antioch Police Department,"{""url"": ""https://www.antiochca.gov/police/"", ""url_label"": """"}",Antioch Police Department,8955.0,Police Department,ANTIOCH PD,,Contra Costa,,,,d35fb4bf-97b9-4da6-a577-3feda4a46ee7,ANTIOCH PD
,,,,,CA007013G,,,,,,,,,,,,,,,CONTRA COSTA COUNTY PROBATION
,,Brentwood Police Department,,702,CA0070200,Contra Costa County,Brentwood Police Department,Brentwood Police Department,"{""url"": ""https://www.brentwoodca.gov/government/police"", ""url_label"": """"}",Brentwood Police Department,5628.0,Police Department,BRENTWOOD PD,,Contra Costa,,,,0f0c7ac3-9adc-421e-aacf-e54d79a696ac,BRENTWOOD PD
,,Clayton Police Department,,703,CA0070300,Contra Costa County,Clayton Police Department,Clayton Police Department,"{""url"": ""https://claytonca.gov/police/"", ""url_label"": """"}",Clayton Police Department,11897.0,Police Department,CLAYTON PD,,Contra Costa,,,,b2a31265-0211-4129-8b06-0aa718f793df,CLAYTON PD
,,Concord Police Department,,704,CA0070400,Contra Costa County,Concord Police Department,Concord Police Department,"{""url"": ""https://www.cityofconcord.org/183/Police"", ""url_label"": """"}",Concord Police Department,620.0,Police Department,CONCORD PD,,Contra Costa,,,,693b10dc-9842-49b2-a644-fb01891c5ecd,CONCORD PD
,,El Cerrito Police Department,,705,CA0070500,Contra Costa County,El Cerrito Police Department,El Cerrito Police Department,"{""url"": ""https://www.el-cerrito.org/135/Police-Department"", ""url_label"": """"}",El Cerrito Police Department,19450.0,Police Department,EL CERRITO PD,2018-01,Contra Costa,Race Ethnicity Sustained,1,,cf569105-e7e3-492d-8fd2-706176572520,EL CERRITO PD
,,Hercules Police Department,,706,CA0070600,Contra Costa County,Hercules Police Department,Hercules Police Department,"{""url"": ""https://www.herculesca.gov/government/police"", ""url_label"": """"}",Hercules Police Department,18703.0,Police Department,HERCULES PD,2023-01,Contra Costa,Race Ethnicity Sustained,1,,e03bb5ed-3ec1-4a91-a05c-be13275c9246,HERCULES PD
,,Pinole Police Department,,707,CA0070700,Contra Costa County,Pinole Police Department,Pinole Police Department,"{""url"": ""https://www.pinole.gov/departments/police/"", ""url_label"": """"}",Pinole Police Department,19527.0,Police Department,PINOLE PD,,Contra Costa,,,,7bae78f2-9662-4161-84d8-ba87460ad239,PINOLE PD
,,Pittsburg Police Department,,708,CA0070800,Contra Costa County,Pittsburg Police Department,Pittsburg Police Department,"{""url"": ""https://www.pittsburgca.gov/services/police"", ""url_label"": """"}",Pittsburg Police Department,12142.0,Police Department,PITTSBURG PD,,Contra Costa,,,,399d717b-608b-48f2-b65e-837e91bb81ff,PITTSBURG PD
,,Pleasant Hill Police Department,,709,CA0070900,Contra Costa County,Pleasant Hill Police Department,Pleasant Hill Police Department,"{""url"": ""https://www.phillca.gov/1616/Police-Department"", ""url_label"": """"}",Pleasant Hill Police Department,12145.0,Police Department,PLEASANT HILL PD,,Contra Costa,,,,e5caae52-8fdd-443b-a8cb-7e0338b28035,PLEASANT HILL PD
,,Richmond Police Department,,710,CA0071000,Contra Costa County,Richmond Police Department,Richmond Police Department,"{""url"": ""https://www.ci.richmond.ca.us/82/Police-Department"", ""url_label"": """"}",Richmond Police Department,9604.0,Police Department,RICHMOND PD,2022-01,Contra Costa,Race Ethnicity Sustained,1,,9c80dfc8-6a27-4380-b1e6-7e578c66458f,RICHMOND PD
,,San Pablo Police Department,,711,CA0071100,Contra Costa County,San Pablo Police Department,San Pablo Police Department,"{""url"": ""https://www.sanpabloca.gov/187/Police-Department"", ""url_label"": """"}",San Pablo Police Department,15951.0,Police Department,SAN PABLO PD,,Contra Costa,,,,b006ea44-4b25-4692-916a-e8676e52c4e4,SAN PABLO PD
,,Walnut Creek Police Department,,712,CA0071200,Contra Costa County,Walnut Creek Police Department,Walnut Creek Police Department,"{""url"": ""https://www.walnutcreekpdca.gov/"", ""url_label"": """"}",Walnut Creek Police Department,12252.0,Police Department,WALNUT CREEK PD,,Contra Costa,,,,fa8ecae8-c175-4f87-a8c6-139f556a94a4,WALNUT CREEK PD
,,,,,CA0071300,,,,,,,,,,,,,,,KENSINGTON PD
,,Martinez Police Department,,714,CA0071400,Contra Costa County,Martinez Police Department,Martinez Police Department,"{""url"": ""https://www.cityofmartinez.org/departments/police"", ""url_label"": """"}",Martinez Police Department,12064.0,Police Department,MARTINEZ PD,,Contra Costa,,,,e72636e4-96bf-44f0-be5a-7881df91697e,MARTINEZ PD
,,Moraga Police Department,,716,CA0071600,Contra Costa County,Moraga Police Department,Moraga Police Department,"{""url"": ""http://police.moraga.ca.us/"", ""url_label"": """"}",Moraga Police Department,19623.0,Police Department,MORAGA PD,,Contra Costa,,,,a7c81108-a15c-47a2-8572-a7c64d5615be,
,,Contra Costa College District Police Department,,721,CA0072100,Contra Costa County,Contra Costa Community College,Contra Costa College District Police Department,"{""url"": ""https://www.4cd.edu/pd/"", ""url_label"": """"}",Contra Costa College District Police Department,19897.0,Community College,CONTRA COSTA CCD PD,,Contra Costa,,,,991a736d-d73b-4882-bc05-0ae4632dc67c,CONTRA COSTA COMM COLLEGE PD
,,,,,CA0073400,,,,,,,,,,,,,,,OAKLEY PD
,,San Ramon Police Department,,724,CA0074000,Contra Costa County,San Ramon Police Department,San Ramon Police Department,"{""url"": ""https://www.sanramon.ca.gov/our_city/departments_and_divisions/police"", ""url_label"": """"}",San Ramon Police Department,12183.0,Police Department,SAN RAMON PD,,Contra Costa,,,,a25ddfe3-1c27-4974-a9b2-bf7a5c53cea7,SAN RAMON PD
,,Del Norte County Sheriff,,800,CA0080000,Del Norte County,Del Norte County Sheriff's Department,Del Norte County Sheriff,"{""url"": ""https://www.co.del-norte.ca.us/dnso"", ""url_label"": """"}",Del Norte County Sheriff,5368.0,Sheriff,"DEL NORTE COUNTY SD, DEL NORTE COUNTY SO",,Del Norte,,,,34b483ef-dd90-4883-b213-84706e258b5c,DEL NORTE SD
,,Crescent City Police Department,,801,CA0080100,Del Norte County,Crescent City Police Department,Crescent City Police Department,"{""url"": ""https://www.crescentcity.org/departments/Police"", ""url_label"": """"}",Crescent City Police Department,19606.0,Police Department,CRESCENT CITY PD,,Del Norte,,,,dba70754-b28b-4095-9bb6-f2737672276f,CRESCENT CITY PD
,,,,,CA008013G,,,,,,,,,,,,,,,DEL NORTE COUNTY PROBATION
,,El Dorado County Sheriff,,900,CA0090000,El Dorado County,El Dorado County Sheriff's Department,El Dorado County Sheriff,"{""url"": ""https://www.eldoradocounty.ca.gov/Public-Safety-Justice/Safety-Justice/sheriff"", ""url_label"": """"}",El Dorado County Sheriff,8707.0,Sheriff,"EL DORADO CO SD, EL DORADO CO SO",,El Dorado,,,,0e79aa19-52de-479b-af5f-8c75ad921d28,EL DORADO SD
,,Placerville Police Department,,901,CA0090100,El Dorado County,Placerville Police Department,Placerville Police Department,"{""url"": ""https://www.cityofplacerville.org/police"", ""url_label"": """"}",Placerville Police Department,727.0,Police Department,PLACERVILLE PD,,El Dorado,,,,6f43d522-6d34-40bc-bef8-8a417b7bdf53,PLACERVILLE PD
,,El Dorado County District Attorney,,6309,CA009013A,El Dorado County,El Dorado County District Attorney,El Dorado County District Attorney,"{""url"": ""https://www.eldoradoda.com/"", ""url_label"": """"}",El Dorado County District Attorney,18066.0,District Attorney,EL DORADO CO DA,,El Dorado,,,,f75068b4-b8c2-4d42-82ef-d8f84e7c4946,EL DORADO COUNTY DISTRICT ATTORNEY
,,,,,CA009013G,,,,,,,,,,,,,,,EL DORADO CO PROBATION DEPARTMENT
,,South Lake Tahoe Police Department,,902,CA0090200,El Dorado County,South Lake Tahoe Police Department,South Lake Tahoe Police Department,"{""url"": ""https://www.cityofslt.us/302/Police-Department"", ""url_label"": """"}",South Lake Tahoe Police Department,5372.0,Police Department,SOUTH LAKE TAHOE PD,,El Dorado,,,,ea48e444-4290-4b79-aeab-559a4961db92,SOUTH LAKE TAHOE PD
,,Fresno County Sheriff,,1000,CA0100000,Fresno County,Fresno County Sheriff's Department,Fresno County Sheriff,"{""url"": ""https://www.fresnosheriff.org/"", ""url_label"": """"}",Fresno County Sheriff,5375.0,Sheriff,"FRESNO CO SD, FRESNO CO SO",,Fresno,,,,c49a93d3-f695-4f70-bcb1-58cc97bc60e5,FRESNO SD
,,Clovis Police Department,,1001,CA0100100,Fresno County,Clovis Police Department,Clovis Police Department,"{""url"": ""https://cityofclovis.com/police/"", ""url_label"": """"}",Clovis Police Department,8986.0,Police Department,CLOVIS PD,,Fresno,,,,a04bd86c-a518-4070-acd7-3877520a1e3c,CLOVIS PD
,,Fresno County Probation Department,,6810,CA010013G,Fresno County,Fresno County Probation Department,Fresno County Probation Department,"{""url"": ""https://www.fresnocountyca.gov/Departments/Probation"", ""url_label"": """"}",Fresno County Probation Department,19463.0,Probation Department,,,Fresno,,,,e79b8a37-ef8b-4783-84df-1a29ca3bdfe3,FRESNO CO PROBATION DEPARTMENT
,,,,,CA010015M,,,,,,,,,,,,,,,COALINGA STATE HOSPITAL
,,Coalinga Police Department,,1002,CA0100200,Fresno County,Coalinga Police Department,Coalinga Police Department,"{""url"": ""https://www.coalinga.com/150/Police"", ""url_label"": """"}",Coalinga Police Department,19731.0,Police Department,COALINGA PD,,Fresno,,,,32b76968-2b25-4d6e-8a59-7521a2b695ed,COALINGA PD
,,Fresno County District Attorney,,6310,CA010023A,Fresno County,Fresno County District Attorney,Fresno County District Attorney,"{""url"": ""https://www.fresnocountyca.gov/Departments/District-Attorney"", ""url_label"": """"}",Fresno County District Attorney,18076.0,District Attorney,FRESNO CO DA,,Fresno,,,,f7c1ef87-a01b-42bb-bf2e-a9d9fdf09c75,FRESNO COUNTY DISTRICT ATTORNEYS OFFICE
,,Firebaugh Police Department,,1003,CA0100300,Fresno County,Firebaugh Police Department,,"{""url"": ""https://firebaugh.org/police/"", ""url_label"": """"}",,,Police Department,,,Fresno,,,,5e8cc76d-843b-493a-9375-0d623776abba,FIREBAUGH PD
,,Fowler Police Department,,1004,CA0100400,Fresno County,Fowler Police Department,Fowler Police Department,"{""url"": ""https://fowlercity.org/police-department/"", ""url_label"": """"}",Fowler Police Department,19461.0,Police Department,FOWLER PD,,Fresno,,,,a3b7bb6a-546d-476d-83ce-79c82f117c1f,FOWLER PD
,,Fresno Police Department,,1005,CA0100500,Fresno County,Fresno Police Department,Fresno Police Department,"{""url"": ""https://www.fresno.gov/police/"", ""url_label"": """"}",Fresno Police Department,5217.0,Police Department,FRESNO PD,2021-01,Fresno,Race Ethnicity Sustained,1,,d1556325-080e-43f7-b74f-9d87e80170f8,FRESNO PD
,,Huron Police Department,,1006,CA0100600,Fresno County,Huron Police Department,Huron Police Department,"{""url"": ""https://cityofhuron.com/public-safety/"", ""url_label"": """"}",Huron Police Department,19476.0,Police Department,HURON PD,,Fresno,,,,3817252b-ab8f-4136-923f-297c7d4e82a7,HURON PD
,,Kerman Police Department,,1007,CA0100700,Fresno County,Kerman Police Department,Kerman Police Department,"{""url"": ""https://cityofkerman.net/222/Police-Department"", ""url_label"": """"}",Kerman Police Department,19480.0,Police Department,KERMAN PD,,Fresno,,,,44a14da3-f442-4f52-96f8-eda4290c8e62,KERMAN PD
